Data Point Listing of File E:\testdata\LiCl_ref1.tnt
Starting Point:	1	Ending Point:	8192
Real	Imag	usec
5.000	-13.000	34300.000
5.000	-18.000	34350.000
4.000	-16.000	34400.000
2.000	-14.000	34450.000
5.000	-13.000	34500.000
6.000	-14.000	34550.000
0.000	-8.000	34600.000
0.000	-12.000	34650.000
1.000	-10.000	34700.000
3.000	-15.000	34750.000
2.000	-19.000	34800.000
1.000	-10.000	34850.000
1.000	-13.000	34900.000
2.000	-10.000	34950.000
-1.000	-14.000	35000.000
-2.000	-8.000	35050.000
4.000	-14.000	35100.000
6.000	-18.000	35150.000
1.000	-13.000	35200.000
8.000	-14.000	35250.000
4.000	-12.000	35300.000
5.000	-9.000	35350.000
0.000	-9.000	35400.000
4.000	-10.000	35450.000
1.000	-12.000	35500.000
3.000	-9.000	35550.000
5.000	-11.000	35600.000
1.000	-6.000	35650.000
4.000	-15.000	35700.000
-3.000	-15.000	35750.000
-2.000	-5.000	35800.000
4.000	-14.000	35850.000
5.000	-13.000	35900.000
3.000	-15.000	35950.000
8.000	-14.000	36000.000
3.000	-6.000	36050.000
4.000	-14.000	36100.000
5.000	-6.000	36150.000
6.000	-9.000	36200.000
0.000	-9.000	36250.000
6.000	-12.000	36300.000
9.000	-10.000	36350.000
2.000	-10.000	36400.000
6.000	-8.000	36450.000
1.000	-9.000	36500.000
-2.000	-5.000	36550.000
6.000	-12.000	36600.000
1.000	-14.000	36650.000
-1.000	-12.000	36700.000
10.000	-13.000	36750.000
4.000	-13.000	36800.000
8.000	-8.000	36850.000
0.000	-11.000	36900.000
-4.000	-10.000	36950.000
1.000	-9.000	37000.000
-1.000	-7.000	37050.000
-1.000	-12.000	37100.000
1.000	-17.000	37150.000
1.000	-8.000	37200.000
5.000	-9.000	37250.000
3.000	-15.000	37300.000
2.000	-12.000	37350.000
-6.000	-8.000	37400.000
-3.000	-7.000	37450.000
0.000	-14.000	37500.000
-1.000	-12.000	37550.000
1.000	-12.000	37600.000
4.000	-11.000	37650.000
-4.000	-7.000	37700.000
2.000	-10.000	37750.000
5.000	-10.000	37800.000
0.000	-9.000	37850.000
1.000	-15.000	37900.000
-5.000	-11.000	37950.000
1.000	-11.000	38000.000
4.000	-10.000	38050.000
5.000	-4.000	38100.000
3.000	-7.000	38150.000
2.000	-13.000	38200.000
4.000	-8.000	38250.000
-3.000	-8.000	38300.000
1.000	-7.000	38350.000
8.000	-5.000	38400.000
4.000	-6.000	38450.000
7.000	-12.000	38500.000
2.000	-11.000	38550.000
1.000	-8.000	38600.000
0.000	-14.000	38650.000
-1.000	-9.000	38700.000
4.000	-11.000	38750.000
3.000	-17.000	38800.000
7.000	-9.000	38850.000
3.000	-13.000	38900.000
-7.000	-8.000	38950.000
-4.000	-10.000	39000.000
5.000	-16.000	39050.000
5.000	-7.000	39100.000
4.000	-12.000	39150.000
5.000	-15.000	39200.000
4.000	-8.000	39250.000
2.000	-12.000	39300.000
4.000	-1.000	39350.000
4.000	-5.000	39400.000
6.000	-4.000	39450.000
6.000	-9.000	39500.000
2.000	-17.000	39550.000
-1.000	-8.000	39600.000
7.000	-5.000	39650.000
5.000	-7.000	39700.000
-1.000	-11.000	39750.000
-5.000	-8.000	39800.000
2.000	-8.000	39850.000
0.000	-9.000	39900.000
1.000	-4.000	39950.000
1.000	-7.000	40000.000
0.000	-9.000	40050.000
1.000	-11.000	40100.000
1.000	-8.000	40150.000
8.000	-6.000	40200.000
7.000	-5.000	40250.000
2.000	-11.000	40300.000
9.000	-6.000	40350.000
5.000	-11.000	40400.000
0.000	-6.000	40450.000
4.000	-5.000	40500.000
0.000	-10.000	40550.000
3.000	-12.000	40600.000
4.000	-9.000	40650.000
-3.000	-8.000	40700.000
3.000	-8.000	40750.000
2.000	-9.000	40800.000
0.000	-8.000	40850.000
4.000	-7.000	40900.000
-2.000	-10.000	40950.000
-2.000	-2.000	41000.000
-2.000	1.000	41050.000
3.000	-2.000	41100.000
5.000	-8.000	41150.000
0.000	-6.000	41200.000
2.000	-2.000	41250.000
4.000	-8.000	41300.000
4.000	-5.000	41350.000
-2.000	-8.000	41400.000
-4.000	-7.000	41450.000
4.000	0.000	41500.000
1.000	-9.000	41550.000
0.000	-5.000	41600.000
0.000	-9.000	41650.000
5.000	-2.000	41700.000
4.000	-6.000	41750.000
2.000	-9.000	41800.000
-5.000	-6.000	41850.000
2.000	-8.000	41900.000
2.000	-7.000	41950.000
-1.000	-7.000	42000.000
6.000	-5.000	42050.000
2.000	-1.000	42100.000
4.000	-4.000	42150.000
0.000	-4.000	42200.000
2.000	-4.000	42250.000
6.000	-5.000	42300.000
-1.000	-8.000	42350.000
1.000	-10.000	42400.000
2.000	-6.000	42450.000
3.000	-2.000	42500.000
8.000	-9.000	42550.000
7.000	-4.000	42600.000
0.000	-3.000	42650.000
3.000	-3.000	42700.000
7.000	-6.000	42750.000
1.000	-5.000	42800.000
3.000	-7.000	42850.000
3.000	-3.000	42900.000
5.000	-9.000	42950.000
-1.000	-6.000	43000.000
5.000	-8.000	43050.000
3.000	-4.000	43100.000
3.000	-3.000	43150.000
4.000	-10.000	43200.000
1.000	-5.000	43250.000
6.000	-3.000	43300.000
2.000	-7.000	43350.000
3.000	-4.000	43400.000
5.000	-6.000	43450.000
-2.000	-5.000	43500.000
5.000	-6.000	43550.000
-1.000	-5.000	43600.000
-3.000	-5.000	43650.000
7.000	-2.000	43700.000
4.000	2.000	43750.000
1.000	-6.000	43800.000
1.000	-9.000	43850.000
4.000	-3.000	43900.000
2.000	-10.000	43950.000
-1.000	-3.000	44000.000
-6.000	0.000	44050.000
2.000	3.000	44100.000
9.000	-3.000	44150.000
6.000	-6.000	44200.000
6.000	-3.000	44250.000
-1.000	-2.000	44300.000
-2.000	-9.000	44350.000
2.000	-3.000	44400.000
4.000	-3.000	44450.000
0.000	-1.000	44500.000
1.000	-4.000	44550.000
2.000	2.000	44600.000
4.000	-4.000	44650.000
3.000	1.000	44700.000
4.000	-2.000	44750.000
-2.000	-4.000	44800.000
6.000	1.000	44850.000
1.000	-2.000	44900.000
7.000	-1.000	44950.000
1.000	-1.000	45000.000
-3.000	-8.000	45050.000
10.000	-9.000	45100.000
2.000	-1.000	45150.000
1.000	-1.000	45200.000
1.000	-6.000	45250.000
5.000	-4.000	45300.000
4.000	-3.000	45350.000
-7.000	-6.000	45400.000
-1.000	-4.000	45450.000
0.000	-1.000	45500.000
0.000	-3.000	45550.000
-2.000	-1.000	45600.000
0.000	-2.000	45650.000
6.000	-8.000	45700.000
-1.000	-4.000	45750.000
-4.000	-1.000	45800.000
5.000	-2.000	45850.000
-3.000	-3.000	45900.000
0.000	-8.000	45950.000
1.000	-5.000	46000.000
-1.000	-2.000	46050.000
5.000	-8.000	46100.000
2.000	2.000	46150.000
3.000	-3.000	46200.000
-5.000	-3.000	46250.000
2.000	-4.000	46300.000
2.000	-3.000	46350.000
4.000	0.000	46400.000
3.000	-4.000	46450.000
0.000	-1.000	46500.000
2.000	1.000	46550.000
4.000	-3.000	46600.000
0.000	-6.000	46650.000
-1.000	0.000	46700.000
6.000	1.000	46750.000
1.000	-6.000	46800.000
5.000	-2.000	46850.000
1.000	4.000	46900.000
3.000	-5.000	46950.000
4.000	-8.000	47000.000
2.000	-4.000	47050.000
1.000	-2.000	47100.000
1.000	2.000	47150.000
0.000	-2.000	47200.000
3.000	1.000	47250.000
0.000	-3.000	47300.000
0.000	2.000	47350.000
